position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Supreme Leader,Hibatullah Akhundzada,Q24237654,2016-05-25,,male,1961,,,Hibatullah Akhundzada
President,Burhanuddin Rabbani,Q188667,1992-06-28,2001-12-22,male,1940-09-20,2011-09-20,Burhanuddin Rabbani Cropped DVIDS.jpg,Burhanuddin Rabbani
President,Hamid Karzai,Q43944,2004-12-07,2014-09-29,male,1957-12-24,,Hamid Karzai listens to Barack Obama in Kabul 2012 (cropped).jpg,Hamid Karzai
President,Ashraf Ghani,Q172388,2014-09-29,2021-08-15,male,1949-05-19,,Aschraf Ghani MSC 2017 2 (cropped).jpg,Ashraf Ghani
Vice President,Muhammad Fahim,Q167526,2009-11-19,2014-03-09,male,1957,2014-03-09,Mohammed Qasim Fahim.jpg,Mohammed Fahim
Vice President,Abdul Rashid Dostum,Q331702,2014-09-29,2020-02-19,male,1954-03-25,,Abdul Rashid Dostum in September 2014.jpg,Abdul Rashid Dostum
Prime Minister,Mohammed Omar,Q193968,1996-09-27,2001-11-13,male,1960,2013-04-23,,Mullah Omar
Prime Minister,Mohammad Rabbani,Q2995293,1996-09-27,2001-04-13,male,1955-09,2001-04-15,,Mohammad Rabbani
Prime Minister,Abdul Kabir,Q4665452,2001-04-16,2001-11-13,male,1958,,,Abdul Kabir
Prime Minister,Mohammad Hasan Akhund,Q108444479,2021-09-07,,male,1945,,Hasan Akhund.png,Hasan Akhund
Foreign Minister,Abdullah Abdullah,Q317556,2001-12-22,2006-03-21,male,1960-09-05,,Abdullah Abdullah December 2014.jpg,Abdullah Abdullah
Speaker of the House of Elders,Sibghatullah Mojaddedi,Q380474,2005-12,2011-01-29,male,1926-04-21,2019-02-11,Mojaddedi in September 2014.jpg,Sibghatullah Mojaddedi
Speaker of the House of the People,Abdul Rauf Ibrahimi,Q5917451,2011-02-27,2019-05-20,male,1962,,Abdul Rauf Ibrahimi.jpg,Abdul Rauf Ibrahimi
Chief of General Staff,Yasin Zia,Q98931713,2020-07-07,2021-06-19,male,,,Yasin Zia greeting troops (cropped).jpg,Yasin Zia
Chief Executive Officer,Abdullah Abdullah,Q317556,2014-09-29,2021-08-15,male,1960-09-05,,Abdullah Abdullah December 2014.jpg,Abdullah Abdullah
Governor of Kandahar,Asadullah Khalid,Q500500,2005,2008-08,male,1970-06,,Asadullah Khalid in June 2011-cropped.jpg,Asadullah Khalid
Governor of Kandahar,Rahmatullah Raufi,Q7283534,2008-08,2008-12-08,male,1948,,,Rahmatullah Raufi
Governor of Kandahar,Zalmai Wesa,Q31819380,2017-05-21,2019-02-04,male,1947,,Zalmai Wesa (cropped).jpg,Zalmai Wesa
Governor of Kandahar,Hayatullah Hayat,Q61473766,2019-02-04,2021-01-02,male,1974,,,Hayatullah Hayat
Governor of Kandahar,Ruhollah Khanzadeh,Q104635932,2021-01-02,2021-08-12,male,,,,
Governor of Kandahar,Muhammad Yousuf Wafa,Q108712362,2021-08,,male,,,,Muhammad Yousuf Wafa
Mayor of Kabul,Muhammad Yunus Nawandish,Q7385486,2010-01-04,2020-04-01,male,,,Yunus Nawandish of Afghanistan in 2010.jpg,Muhammad Yunus Nawandish
Mayor of Kabul,Muhammad Dawood Sultanzoy,Q6891918,2020-04-01,2021-08-24,male,1952,,,Mohammad Daud Sultanzoy
Mayor of Kabul,Hamdullah Nomani,Q108264404,2021-08-24,,male,,,,Hamdullah Nomani
Mayor of Kandahar,Ghulam Haider Hamidi,Q971952,2006-02,2011-07-27,male,1947,2011-07-27,Ghulam Haider Hamidi in 2011.jpg,Ghulam Haider Hamidi
Mayor of Kandahar,Rokhan Wolasmal,Q47544884,2015-10-18,2018-06-13,male,,,,
Mayor of Kandahar,محمد نسیم رضايي,Q61741222,2018-07-01,,male,,,,
